websites,country,category,cmp,smp,,,,,,,,,,,
finanzmarktwelt.de,germany,News,Cookiebot,n/a,,,,,,,,,,livingathome.de,Shopping
firmenwagen.co.at,austria,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,ln-online.de,News
fitbook.de,germany,n/a,Axel Springer Deutschland GmbH,n/a,,,,,,,,,,logistik-heute.de,Business
fitundleicht.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,logistra.de,Shopping
flugrevue.de,germany,Travel,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,lonelyplanet.de,Travel
fnp.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,lvz-online.de,News
forellenteich-angeln.com,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,lvz.de,News
form-werkzeug.de,germany,Business,OneTrust LLC,contentpass,,,,,,,,,,macnews.de,Computers & Technology
formel1.de,germany,Sports,OneTrust LLC,contentpass,,,,,,,,,,macwelt.de,Computers & Technology
forzaroma.info,italy,News,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,maennersache.de,Entertainment
fr.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,maennerseite.net,Business
fraenkische-rezepte.de,germany,Restaurants & Dining,consentmanager.net,contentpass,,,,,,,,,,maerkischeallgemeine.de,News
free-fonts.com,united states,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,manager-magazin.de,News
freenet.de,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,marconomy.de,Business
freundin.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,marcopolo.de,Travel
fuehrerscheintest-online.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,maschinenmarkt.ch,Business
fuldaerzeitung.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,maschinenmarkt.international,Business
funandnews.de,germany,News,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,maschinenmarkt.vogel.de,Business
fussball-nachrichten.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,materialfluss.de,Business
